x	y	landarea	country	npp	potveg	popdens2000	popdens2010	popdens2020	popdens2030	popdens2040	popdens2050	popdens2060	popdens2070	popdens2080	popdens2090	popdens2100	spopdens2000	spopdens2010	spopdens2020	spopdens2030	spopdens2040	spopdens2050	spopdens2060	spopdens2070	spopdens2080	spopdens2090	spopdens2100	sagrsuit	agrsuit	priceindex	biomass	forest	r	gdp2000	gdp2010	gdp2020	gdp2030	gdp2040	gdp2050	gdp2060	gdp2070	gdp2080	gdp2090	gdp2100	builtup2010	builtup2020	builtup2030	builtup2040	builtup2050	builtup2060	builtup2070	builtup2080	crop2010	crop2020	crop2030	crop2040	crop2050	crop2060	crop2070	crop2080	protect	used	fraclongprod	corruption	slashburn	iiasa_region	biomassbl	decherb	decwood	decsoc	caboveha	cbelowha	cdeadha	clitterha	socha	polesreg	ftimber	maie	main	managedshare	managedflag	harvestcosts	simuid	crop2000	builtup2000	countryregmix	road	forloss	globiom_reserved	speciestype	countryregmix_old	afformax
31.25	50.75	1956	224	0.22871857	8	50	47	46	43	41	37	35	34	32	32	32	5.5	5.23	5.14	4.87	4.69	4.33	4.15	4.06	3.88	3.88	3.88	10	0.597388613	0.704519119	61.99918353	0.185236179	0.14	0.5870618	0.7651377	1.124674	1.859291	3.413743	5.770737	8.071682	10	10	10	10	0.000136595	0.000133009	0.000122599	0.000115905	0.000101801	0.0000944	0.0000907	0.0000830	0.003905612	0.003903306	0.003906996	0.003906227	0.003902426	0.003899364	0.003925188	0.00395591	0	1	0.44939271	0.64166667	0.1	5	34.0205	0.303374339	0.164322843	0.003033743	62.28094421	17.010249	12.200454	14.641847	172.467937	10	4	1.6871681970000001	1.007092138	0.99236500000000005	1	106.095	56584	0.00390560995	0.000136595001	29	0.26584867099999998	0.000118675	0.59331632700000003	7	32	0
22.75	49.25	2018	224	0.232928338	5	32	28	24	19	16	13	11	10	9	9	8	3.88	3.52	3.16	2.71	2.44	2.17	1.99	1.9	1.81	1.81	1.72	9.6851125	0.48250625	0.704519119	43.3634123	0.746190744	0.14	0.2688186	0.3385391	0.4453443	0.643892	1.054842	1.667984	2.213194	2.639702	2.924808	3.1793	3.449937	0.007060925	0.005144358	0.002229566	0.000263616	0	0	0	0	0.09759153	0.0975161	0.09756338	0.0975385	0.09741558	0.09731673	0.09764711	0.09804264	0	1	0.44939271	0.64166667	0.1	5	34.0452	0.397927918	0.205910246	0.003979279	62.32614855	17.022595	12.20931	14.913344	169.910101	10	4	1.6866393799999999	1.0067741429999999	0.99397400000000002	1	116.9786	58727	0.097591497	0.00706093013	29	0.211595639	0.00069545000000000002	0.083621797999999997	6	32	0.005414436
31.25	50.25	1867	224	0.225021294	8	29	25	21	17	14	12	10	9	8	8	7	3.61	3.25	2.89	2.53	2.26	2.08	1.9	1.81	1.72	1.72	1.63	10	0.628023973	0.704519119	73.35408214	0.167742198	0.14	0.2428683	0.3059074	0.4024859	0.5820702	0.9532912	1.50745	2.001762	2.389311	2.647861	2.878487	3.122222	0.02175661	0.02071292	0.01964798	0.01881945	0.01825818	0.01769539	0.01742954	0.0171781	0.5180035	0.5176755	0.5179663	0.517857	0.5173162	0.5168806	0.5189196	0.5213447	0	1	0.44939271	0.64166667	0.1	5	33.0888	0.30447413	0.164866146	0.003044741	60.57526504	16.544392	11.866322	14.496777	168.179702	10	4	1.673859639	0.99914224799999996	0.99981600000000004	1	106.6824	57304	0.518004	0.0217566006	29	0.308516336	5.8600000000000001e-005	0.31425427900000003	7	32	0
31.75	51.25	1935	224	0.221031166	8	18	16	14	11	9	7	6	6	5	5	5	2.62	2.44	2.26	1.99	1.81	1.63	1.54	1.54	1.45	1.45	1.45	10	0.597388613	0.704519119	73.29909601	0.183246687	0.14	0.1553736	0.1957018	0.2575256	0.3725111	0.61007	0.9642532	1.279228	1.526023	1.692459	1.839273	1.997902	0.02460895	0.0242358	0.02365648	0.02325517	0.0228421	0.02263183	0.02263183	0.0224188	0.416741	0.4164742	0.4168242	0.4167352	0.4162946	0.4159396	0.4183932	0.4213142	0	1	0.44939271	0.64166667	0.1	5	32.6104	0.29232094	0.15880671	0.002923209	59.69941405	16.305178	11.694748	14.284957	167.31465	10	4	1.6642638160000001	0.99341832699999999	0.99619400000000002	1	105.9203	55865	0.416741014	0.0246089008	29	0.21498708	0.000152991	0.40001229999999999	7	32	0
31.75	51.75	1914	224	0.215320523	8	20	17	15	12	9	8	7	6	6	5	5	2.8	2.53	2.35	2.08	1.81	1.72	1.63	1.54	1.54	1.45	1.45	5.354289384	0.241904966	0.704519119	71.8294014	0.293405571	0.14	0.1669472	0.2102371	0.2766173	0.400053	0.655104	1.035875	1.374648	1.640966	1.817266	1.973215	2.141051	0.000117158	0.000109342	0.0000970	0.0000840	0.0000795	0.0000749	0.0000703	0.0000703	0.004119719	0.004116024	0.004118015	0.004116786	0.004110706	0.004105816	0.004119789	0.00413645	0	1	0.44939271	0.64166667	0.1	5	32.0937	0.302950889	0.164113377	0.003029509	58.75348606	16.046825	11.509447	13.960764	167.211944	10	4	1.6610688810000001	0.99151035300000001	0.99836100000000005	1	106.3255	55145	0.00411971984	0.000117158001	29	0.26436781599999998	0.00041914399999999998	0.62943844800000004	7	32	0
30.25	48.25	2058	224	0.21579641	9	26	23	19	15	13	10	9	8	7	7	7	3.34	3.07	2.71	2.35	2.17	1.9	1.81	1.72	1.63	1.63	1.63	10	0.597388613	0.704519119	71.71681316	0.095308524	0.14	0.2176886	0.2741535	0.3607411	0.5215176	0.8544741	1.350666	1.793073	2.139394	2.371444	2.577499	2.797673	0.03039337	0.02912598	0.02788146	0.02725128	0.02625319	0.02590535	0.0255512	0.02518661	0.5160163	0.5153943	0.515636	0.5154291	0.514406	0.5135837	0.5152879	0.517319	0	1	0.44939271	0.64166667	0.1	5	32.0114	0.267899877	0.146311981	0.002678999	58.60286626	16.005687	11.479941	14.002438	166.354181	10	4	1.6594714129999999	0.99055636599999997	0.99780100000000005	1	107.9703	60182	0.516016006	0.0303933993	29	0.210884354	3.2100000000000001e-005	0.188851188	3	32	0.008055603
26.25	48.25	2058	224	0.23036587	5	62	56	47	38	31	26	23	20	18	17	17	6.58	6.04	5.23	4.42	3.79	3.34	3.07	2.8	2.62	2.53	2.53	7.617228425	0.367623801	0.704519119	75.19975877	0.213023587	0.14	0.5239767	0.6598502	0.8682026	1.255139	2.05654	3.251213	4.316172	5.150464	5.704158	6.198464	6.727809	0.05813276	0.05614714	0.05404109	0.05222225	0.05083522	0.04997004	0.04907982	0.0484912	0.5240963	0.523596	0.5238082	0.5236422	0.5228225	0.5221635	0.5236555	0.5254335	0	1	0.44939271	0.64166667	0.1	5	33.7288	0.296097234	0.160702244	0.002960972	61.74696523	16.864408	12.095851	14.779317	169.308999	10	4	1.6576976729999999	1.1873956569999999	0.98002599999999995	1	110.5587	60174	0.524096012	0.0581328012	29	0.20213799800000001	0.00011579	0.26288010299999998	7	32	0.010799151
31.75	50.75	1956	224	0.227181089	9	22	20	17	13	11	9	8	7	6	6	6	2.98	2.8	2.53	2.17	1.99	1.81	1.72	1.63	1.54	1.54	1.54	10	0.597388613	0.704519119	71.30048183	0.061532896	0.14	0.189658	0.2388848	0.3143356	0.4546555	0.7443848	1.177495	1.56241	1.865152	2.065108	2.244539	2.437814	0.000146159	0.000136404	0.000121965	0.000114299	0.000106576	0.000102653	0.0000987	0.0000947	0.00527346	0.005269568	0.0052721	0.005270803	0.005264391	0.005259227	0.005277007	0.005298197	0	1	0.44939271	0.64166667	0.1	5	33.2593	0.298403729	0.161854508	0.002984037	60.88748453	16.629665	11.927484	14.620353	168.010213	10	4	1.6557366440000001	0.98833039700000003	0.99988100000000002	1	106.7008	56585	0.00527345994	0.000146159	29	0.24386503100000001	9.5400000000000001e-006	0.75057395000000005	7	32	0
23.25	48.75	2038	224	0.211220574	5	27	24	20	16	13	11	10	8	8	7	7	3.43	3.16	2.8	2.44	2.17	1.99	1.9	1.72	1.72	1.63	1.63	5.549344349	0.252741353	0.704519119	43.99709505	0.80505772	0.14	0.2287736	0.2881172	0.3791363	0.5481665	0.897864	1.419347	1.884217	2.248754	2.489813	2.706971	2.939062	0.006686003	0.005044478	0.002953745	0.00118674	0.000658892	0.000629965	0.000628482	0.000628482	0.04373847	0.04372835	0.04374553	0.04374217	0.04372557	0.04371218	0.04383224	0.04397616	0	1	0.44939271	0.64166667	0.1	5	31.0989	0.487083417	0.237776659	0.004870834	56.9323654	15.549438	11.152701	13.800819	162.82367	10	4	1.6557366440000001	0.98833039700000003	1	1	123.3404	59448	0.0437384993	0.00668600015	29	0.14425907800000001	0.0011266029999999999	0.026632723000000001	6	32	0.003430885
32.75	51.75	1914	224	0.2102688	8	17	15	13	10	8	7	6	5	5	4	4	2.53	2.35	2.17	1.9	1.72	1.63	1.54	1.45	1.45	1.36	1.36	10	0.597388613	0.704519119	47.90002355	0.440497204	0.14	0.146183	0.1841048	0.2422702	0.3501826	0.573558	0.906649	1.204186	1.436367	1.592319	1.728385	1.875875	0.0000916	0.0000828	0.0000691	0.0000593	0.0000543	0.0000489	0.0000433	0.0000433	0.002884562	0.002882671	0.002885619	0.002884988	0.002881871	0.002879361	0.002899979	0.002924504	0	1	0.44939271	0.64166667	0.1	5	31.417	0.303247331	0.164260033	0.003032473	57.51466068	15.708476	11.266769	13.697423	165.561179	10	4	1.6509442409999999	0.985468436	0.99626599999999998	1	105.8712	55147	0.00288456003	9.1599999e-005	29	0.25391849500000002	0.00063871399999999997	0.43414328899999999	3	32	0
